Name
Actor
Amerindian Tribesperson
Bartender
Beat Cop
Blogger
Bookie
Club Hopper
Club Owner
Company Man
Corporate Headhunter
Corporate Manager
Corporate Scientist
Corporate Wage Slave
Cult Member
Dockworker
Executive Assistant
Firefighter
Forensics Expert
Freedom Figher
Gang Leader
Gambler
Go-Ganger
Grassroots Politician
Hermetic Academic
High Stakes Negotiator
Humanis Policlub Member
Janitor
Journalist
Mafia Consiglieri
Ork Nation Organizer
Parasecurity Expert
Parazoology Academic
Pimp
Pirate
Police Chief
Political Intern
Prostitute
Security Contractor
Security Guard
Security Spider
Stripper
Simsense Star
Slumlord
Squatter
Street Vendor
Tamanous Member
Taxi Driver
TerraFirst! Activist
Trid Pirate
Wiz Ki Ganger
Yakuza Soldier
