Name	Cost
AI in Residence	-3
Ambusher's Delight	-3
Blackhole 1	-2
Blackhole 2	-4
Corporate Owned	-3
Crash Pad	-1
Defective CHN	-1
Green Plan	-1
Haunted	-4
Household Gremlins 1	-1
Household Gremlins 2	-3
Lax Security	-2
Living by Commitee	-2
Living with Parents	-2
Network Bottleneck	-1
No Forwarding Address	-1
Nosy Neighbors	-2
No Privacy 1	-1
No Privacy 2	-2
No Privacy 3	-3
Pest Magnet 1	-1
Pest Magnet 2	-3
Poor Condition	-1
Rough Neighborhood	-1
Spirit Magnet 1 	-1
Spirit Magnet 2 	-3
This Isn't Big Bob's Autos	-1
Trigger-Happy Landlord	-1
Unsound	-2
Unsafe	-3
Worse Neighbors	-1
