Name	Cost
Analyze Device	5
Analyze Magic	5
Analyze Truth	5
Animal Sense	5
Area Thought Recognition	5
Astral Clairvoyance	5
Astral Window	5
Borrow Sense	5
Catalog	5
Clairaudience	5
Clairvoyance	5
Combat Sense	5
Detect Enemies	5
Detect Individual	5
Detect Life	5
Detect [Life Form]	5
Detect Magic	5
Detect [Object]	5
Diagnose	5
Enhance Aim	5
Eyes of the Pack	5
Hawkeye	5
Mana Window	5
Mindlink	5
Mindnet	5
Mind Probe	5
Night Vision	5
[Sense] Cryptesthesia	5
Spatial Sense	5
Thermographic Vision	5
Thought Recognition	5
Translate	5
