Name	Cost
Alter Memory	5
Alter Temperature	5
Animate	5
Armor	5
Astral Armor	5
Bind	5
Calm Animal	5
Calm Pack	5
Catfall	5
Clean [Element]	5
Compel Truth	5
Control Actions	5
Control Animal	5
Control Emotions	5
Control Pack	5
Control Thoughts	5
[Critter] Form	5
Deflection	5
[Element] Aura	5
[Element] Wall	5
Fashion	5
Fix	5
Fling	5
Gecko Crawl	5
Glue Strip	5
Ice Sheet	5
Ignite	5
Influence	5
Interference	5
Levitate	5
Light	5
Lock	5
Magic Fingers	5
Makeover	5
Mana Barrier	5
Mana Bind	5
Mana Net	5
Mana Static	5
Mass Animate	5
Mist	5
Mob Control	5
Mob Mind	5
Mob Mood	5
Net	5
Offensive Mana Barrier	5
Petrify	5
Physical Barrier	5
Poltergeist	5
Preserve	5
Pulse	5
Reinforce	5
Shadow	5
Shapechange	5
Shape [Material]	5
Spirit Barrier	5
Spirit Zapper	5
Sterilize	5
Turn to Goo	5
