Name	Cost
Addiction [Mild]	-5
Addiction [Moderate]	-10
Addiction [Severe]	-20
Addiction [Burnout]	-30
Albinism	-10
Allergy [Uncommon&Mild]	-5
Allergy [Uncommon&Moderate]	-10
Allergy [Uncommon&Severe]	-15
Allergy [Common&Mild]	-10
Allergy [Common&Moderate]	-15
Allergy [Common&Severe]	-20
Amnesia [Life]	-10
Amnesia [Everything]	-25
Asthma	-15
Astral Beacon	-5
Bad Luck	-20
Bad Rep	-5
Bi-Polar	-10
Big Regret	-5
Borrowed Time	-20
Codeblock	-5
Combat Paralysis	-20
Computer Illeterate	-5
Cranial Bomb	-10
Day Job [10 Hours]	-5
Day Job [20 Hours]	-10
Day Job [40 Hours]	-15
Delusions	-10
Dementia	-20
Dependent(s) [Nuisance]	-5
Dependent(s) [Commitment]	-10
Dependent(s) [Special Care]	-15
Distinctive Style [1]	-5
Distinctive Style [2]	-10
Distinctive Style [3]	-15
Elf Poser	-5
Enemy [C+I=5]	-5
Enemy [C+I=15]	-15
Enemy [C+I=25]	-25
Evil Twin	-10
Flashbacks [Uncommon]	-5
Flashbacks [Common]	-10
Gremlins	-20
Hallucinations	-10
Hung Out to Dry	-10
Illiterate	-10
In Debt [10000]	-5
In Debt [30000]	-15
In Debt [50000]	-25
Incompetent	-5
Infirm	-20
Judas	-10
Liar	-5
Lost Loved One	-5
Low Pain Tolerance	-10
Mental Handicap [2]	-20
Multiple Personality Disorder	-20
Mysterious Implant [Passive]	-5
Mysterious Implant [Active]	-10
Mysterious Implant [Deadly]	-25
Night Blindness	-5
Oblivious	-5
Obsessive Compulsive Disorder	-10
Ork Poser	-5
Pacifist [Self-Defense]	-5
Pacifist [Never]	-10
Paranoia	-10
Phobia [Uncommon, Mild]	-5
Phobia [Uncommon, Moderate]	-10
Phobia [Uncommon, Severe]	-15
Phobia [Common, Mild]	-10
Phobia [Common, Moderate]	-15
Phobia [Common, Severe]	-20
Poor Self Control [Braggart]	-5
Poor Self Control [Thrill Seeker]	-5
Poor Self Control [Compulsive, Minor]	-5
Poor Self Control [Compulsive, Severe]	-15
Poor Self Control [Vindictive]	-10
Poor Self Control [Combat Monster]	-10
Prejudiced [Common, Biased]	-10
Prejudiced [Common, Outspoken]	-15
Prejudiced [Common, Active]	-20
Prejudiced [Common, Radical]	-25
Quadriplegic [Meetbag]	-20
Quadriplegic [Full Immersion]	-10
Records on File	-10
Reduced Sense [Blind]	-10
Reduced Sense [Deaf]	-10
Scorched [Meatbags]	-5
Scorched [Hackers]	-10
Sensitive Neural Structure [Meatbags]	-5
Sensitive Neural Structure [Hackers]	-10
Sensitive System [Mundanes]	-20
Sensitive System [Awakened]	-10
Sensory Overload Syndrome	-10
Signature	-10
Simsense Vertigo [Meatbags]	-10
Simsense Vertigo [Hackers]	-20
Sinner [Citizen]	-5
Sinner [Criminal]	-10
Spammed	-5
Spirite Bane	-10
Uncouth	-20
Uneducated	-20
Vendetta	-5
Weak Immune System	-5
