Name	Cost
Adept	20
Ambidextrous	5
Analytical Mind	5
Animal Empathy	10
Aptitude	10
Astral Chameleon	5
Bilingual	5
Black Market Pipeline	10
Blandness	10
Born Rich	10
Catlike	10
Codeslinger	10
College Education	5
Common Sense	5
Deep Cover [Trigger]	5
Deep Cover [Controlled]	10
Digital Doppelganger	10
Double Jointed	5
Erased [Week]	5
Erased [24 Hours]	10
Escaped Clone	5
Exceptional Attribute	20
Fame [Local]	5
Fame [National]	10
Fame [Global]	20
First Impression	5
Focused Concentration	20
Gearhead [Specific]	5
Gearhead [Type]	10
Guts	5
Hawk Eye	5
High Pain Tolerance	20
Home Ground	10
Human Looking	5
Inspired	5
Juryrigger	10
Linguist	5
Lucky	20
Made Man	10
Magician	50
Magic Resistance	20
Mentor Spirit	5
Mistaken Identity	10
Murky Link	10
Natural Athlete	10
Natural Hardening	10
Natual Immunity [Natural]	5
Natual Immunity [Synthetic]	15
Outdoorsman	10
Perceptive	10
Perfect Time	5
Photographic Memory	10
Privileged Family Name	5
Quick Healer	10
Resistance to Pathogens/Toxins [Or]	5
Resistance to Pathogens/Toxins [And]	5
Restricted Gear	5
School of Hard Knocks	5
Sense of Direction	5
Speed Reading	5
Spirit Affinity	10
Technical School Education	5
Tough as Nails	30
Toughness	10
Trust Fund [Moderate]	10
Trust Fund [High]	20
Trustworthy	10
Water Sprite	5
Will to Live	15
